Site,Soil_C,Soil_N,Soil_P,Soil_pH,Soil_Salinity,Soil_Water
OP1,24.07,1.27,0.0419,8.76,0.14,33.77
OP2,21.23,1.33,0.0488,8.68,0.13,34.71
OP3,18.83,1.07,0.039,8.73,0.1,31.97
OP4,20.76,1.54,0.0432,8.51,0.15,38.69
OP5,19.03,1.39,0.0296,8.58,0.13,38.16
OP6,19.75,1.53,0.0423,8.31,0.14,43.18
OP7,25.65,1.75,0.0603,8.31,0.16,43.59
OP8,14.96,0.84,0.0316,8.82,0.09,29.25
OP9,15.33,0.79,0.0482,8.65,0.14,28.57
OP10,13.57,0.73,0.0559,8.85,0.07,25.51
OP11,13.67,0.63,0.0499,8.86,0.07,30.2
OP12,17.41,1.14,0.0588,8.61,0.1,33.15
OP13,14.43,0.74,0.0467,8.72,0.07,31.73
OP14,14.17,0.79,0.0518,8.88,0.07,27.48
OP15,17.02,1.13,0.0496,8.63,0.09,32.01
TP1,17.53,1.2,0.0619,8.77,0.35,41.17
TP2,13.97,0.73,0.0403,9.18,0.14,26.87
TP3,15.06,0.81,0.056,9.15,0.11,27.34
TP4,15.2,0.82,0.0136,8.97,0.25,31.75
TP5,21.27,1.51,0.0617,8.88,0.29,37.64
TP6,14.87,0.76,0.0586,9.02,0.16,29.63
TP7,14.24,0.73,0.0402,8.85,0.23,32.19
TP8,13.39,0.69,0.0492,9.08,0.11,27.18
TP9,14.01,0.74,0.0167,8.96,0.22,31.23
TP10,13.9,0.67,0.0305,8.96,0.17,27.75
TP11,13.97,0.69,0.03,8.93,0.25,31.84
TP12,16.05,0.98,0.0373,8.87,0.26,34.55
TP13,17.44,1.35,0.0417,8.82,0.42,39.54
TP14,15.44,0.81,0.0142,8.85,0.29,30.93
TP15,14.3,0.73,0.0323,9.09,0.13,31.42
PS1,16.74,1.18,0.0572,8.93,0.33,39.2
PS2,16.66,1.21,0.0501,8.85,0.4,44.78
PS3,17.68,1.28,0.0358,8.72,0.41,41.57
PS4,17.24,1.21,0.0612,8.85,0.44,40.79
PS5,17.98,1.21,0.0557,8.81,0.36,42.85
PS6,17.47,1.15,0.056,8.72,0.46,43.98
PS7,17.88,1.25,0.0687,8.67,0.36,44.55
PS8,18.96,1.35,0.0474,8.5,0.64,47.07
PS9,17.91,1.24,0.0583,8.79,0.4,42.11
PS10,15.25,0.93,0.0509,8.9,0.24,34.99
PS11,18.46,1.27,0.053,8.64,0.36,43.26
PS12,20.01,1.39,0.0231,8.6,0.47,41.88
PS13,19.68,1.35,0.0633,8.65,0.4,45.75
PS14,18.34,1.4,0.0508,8.69,0.41,43.31
PS15,17.46,1.21,0.0249,8.73,0.35,42.53
IS1,18.07,1.22,0.0533,8.6,0.49,40.38
IS2,21.3,1.62,0.0665,8.46,0.75,47.59
IS3,23.25,1.78,0.0625,8.35,0.86,49.86
IS4,24.46,1.85,0.064,8.33,0.65,50.37
IS5,19.66,1.41,0.0636,8.48,0.59,45.59
IS6,21.57,1.56,0.0619,8.53,0.57,46.73
IS7,20.22,1.49,0.0564,8.44,0.57,45.34
IS8,18.76,1.45,0.0595,8.55,0.5,42.65
IS9,21.15,1.6,0.0666,8.53,0.49,43.82
IS10,18.29,1.39,0.0507,8.5,0.48,44
IS11,18.67,1.5,0.0493,8.52,0.47,44.32
IS12,18.9,1.37,0.058,8.47,0.61,46.62
IS13,16.66,1.33,0.043,8.59,0.48,41.09
IS14,20.52,1.53,0.0557,8.44,0.62,47.22
IS15,17.21,1.31,0.059,8.56,0.61,44.92
RP1,14.33,0.54,0.0308,8.73,0.57,29.38
RP2,18.66,1.17,0.0496,8.48,0.53,37.11
RP3,14.25,0.48,0.0309,8.97,0.43,26.02
RP4,15.08,1.08,0.0407,9.18,0.27,25.29
RP5,16.72,1.09,0.0552,8.73,0.43,26.6
RP6,12.66,0.49,0.0421,8.88,0.53,25.11
RP7,14.33,0.67,0.05,9.08,0.2,24.65
RP8,13.4,0.53,0.0469,8.91,0.4,27.07
RP9,13.94,0.73,0.0515,8.92,0.37,24.45
RP10,14.8,0.82,0.0583,8.72,0.45,28.37
RP11,12.57,0.51,0.0276,9,0.32,21.96
RP12,13.36,0.69,0.047,8.89,0.53,23.98
RP13,13.33,0.6,0.0484,8.83,0.4,22.84
RP14,14.44,0.81,0.0515,9.01,0.24,19.64
RP15,13.78,0.74,0.0481,9.43,0.14,19.77
