Stable_Isotope,Species,Trophic_Group,Community,Replicate_1,Replicate_2,Replicate_3,Replicate_4,Replicate_5
C,Ochetellus glaber,non-spider predator,OP,n/a,n/a,n/a,n/a,n/a
C,Neohydnus hozumii,non-spider predator,OP,-24.04,-25.41,-25.7,-23,-23.94
C,Scymnus babai,non-spider predator,OP,-26.66,-26.08,-25.83,-27.66,-26.75
C,Scymnus hoffmanni,non-spider predator,OP,-27.5,-27.3,-27.35,-26.7,-27.83
C,Syndyas sp.,non-spider predator,OP,-25.26,-26.02,-24.38,-25.67,-23.55
C,Platygastridae,parasitoid,OP,-27.84,-26.38,-25.07,-27.21,-25.54
C,Eulophidae,parasitoid,OP,-25.69,-26.68,-26.15,-25.05,-25.87
C,Braconidae,parasitoid,OP,-27.35,-26.34,-26.03,-26.65,-27.05
C,Pteromalidae,parasitoid,OP,-25.84,-25.7,-26.36,-26.02,-26.54
C,Eucoilidae,parasitoid,OP,n/a,n/a,n/a,n/a,n/a
C,Mymaridae,parasitoid,OP,n/a,n/a,n/a,n/a,n/a
C,Araneidae,web-building spider,OP,-31.66,-30.51,-31.1,-31.35,-31.14
C,Chrysso spp.,web-building spider,OP,n/a,n/a,n/a,n/a,n/a
C,Linyphiidae,web-building spider,OP,-26.89,-26.49,-27.29,-26.43,-26.55
C,Tetragnatha spp.,web-building spider,OP,-27.14,-28.16,n/a,-21.54,-25.58
C,Araneida,hunting spider,OP,-27.24,-25.97,-26.43,-30.66,-30.18
C,Clubiona spp.,hunting spider,OP,-26.5,-25.87,-25.89,-26.03,-25.63
C,Pisauridae,hunting spider,OP,-31.42,-31.43,-31.44,-29.67,-28.73
C,Phragmites australis,plant,OP,-25.73,-25.86,-25.62,-26.81,-27.51
C,Spartina alterniflora,plant,OP,n/a,n/a,n/a,n/a,n/a
C,Ochetellus glaber,non-spider predator,TP,-24.98,-24.48,-24.9,-25.83,-25.96
C,Neohydnus hozumii,non-spider predator,TP,-24.68,-23.88,-24.17,-23.7,-24.3
C,Scymnus babai,non-spider predator,TP,-23.83,-24.37,-25.31,-24.37,-25.52
C,Scymnus hoffmanni,non-spider predator,TP,-24.94,-24.96,-24.69,-23.03,-25.45
C,Syndyas sp.,non-spider predator,TP,-23.2,-22.16,-22.35,-19.67,-22.53
C,Platygastridae,parasitoid,TP,-24.35,-24.45,-24.95,-23.84,-26.41
C,Eulophidae,parasitoid,TP,-25.77,-24.13,-25.24,-26.38,-26.96
C,Braconidae,parasitoid,TP,-26.82,-24.28,-26.79,-25.43,-26.69
C,Pteromalidae,parasitoid,TP,-23.81,-23.42,-23.67,-24.11,-24.52
C,Eucoilidae,parasitoid,TP,n/a,n/a,n/a,n/a,n/a
C,Mymaridae,parasitoid,TP,n/a,n/a,n/a,n/a,n/a
C,Araneidae,web-building spider,TP,n/a,-29.95,-28.35,-29.31,-23.62
C,Chrysso spp.,web-building spider,TP,n/a,n/a,n/a,n/a,n/a
C,Linyphiidae,web-building spider,TP,-25.92,-27.37,n/a,-27.33,n/a
C,Tetragnatha spp.,web-building spider,TP,-26.05,-26.56,-26.82,n/a,n/a
C,Araneida,hunting spider,TP,-23.15,-26.52,n/a,-28.27,-24.21
C,Clubiona spp.,hunting spider,TP,-23.74,-24.9,-26.46,-25.04,-25.64
C,Pisauridae,hunting spider,TP,-27.62,-23.55,n/a,-27.64,n/a
C,Phragmites australis,plant,TP,-26.61,-26.49,-27.26,-25.37,-26.2
C,Spartina alterniflora,plant,TP,n/a,n/a,n/a,n/a,n/a
C,Ochetellus glaber,non-spider predator,PS,-23.24,-22.92,-20.93,-20.98,-22.23
C,Neohydnus hozumii,non-spider predator,PS,-23.82,-22.4,-23.45,-22.08,-23.9
C,Scymnus babai,non-spider predator,PS,-24.41,-23.57,-25.2,-25.18,-25.56
C,Scymnus hoffmanni,non-spider predator,PS,-25.45,-24.86,-24.64,-24.61,-24.54
C,Syndyas sp.,non-spider predator,PS,-15.65,-21.29,-18.01,-14.87,-17.27
C,Platygastridae,parasitoid,PS,-24.87,-20.38,-15.22,n/a,-21.47
C,Eulophidae,parasitoid,PS,-18.48,-22.82,-16.52,-17.49,-22.9
